name,latitude,longitude,rating,num_reviews,rooms,total_grade
Hotel Villa Helena,36.400234,28.085497,0.0,0.0,10.0,0.0
Alkynois Bungalows,37.52065,22.85935,0.0,0.0,110.0,60.0
Hotel Alexandra,38.91726,21.78964,0.0,0.0,49.0,0.0
Costa Grand Boutique Hotel,36.38237,25.485668,0.0,0.0,0.0,82.0
Lena,38.07615,22.63764,0.0,0.0,12.0,43.0
Ydor Hotel & Spa,37.66542,24.327242,0.0,0.0,0.0,56.0
Cretan Pearl Resort Spa,35.583717,24.07594,0.0,0.0,0.0,0.0
Naxos Grand Hotel,37.083725,25.343393,0.0,0.0,0.0,0.0
Hotel Aegli,35.516705,24.015495,0.0,0.0,17.0,98.0
Phaedra,39.62496,19.91873,0.0,0.0,307.0,100.0
Monte Christo Artist-Apartmenthotel,35.399597,25.017708,0.0,0.0,12.0,60.0
Cook Boutique Hotel,40.27046,22.508028,0.0,0.0,0.0,96.0
Hotel Park,35.37011,24.532,0.0,0.0,10.0,66.0
Di Vania Apartments,35.372326,24.546492,0.0,0.0,12.0,52.0
Hotel Delfini,39.042366,21.118462,0.0,0.0,0.0,0.0
Tina,37.75939,26.97131,0.0,0.0,0.0,63.0
Afro Studios,38.1214,20.5097,0.0,0.0,133.0,36.0
Hotel Maxim,37.98099,23.72822,0.0,0.0,22.0,100.0
Park Hotel Peloponesse,37.56635,22.80252,0.0,0.0,226.0,100.0
Corfu Star Hotel,39.20085,20.17572,0.0,0.0,121.0,39.0
Latino Beach,36.419453,28.166773,0.0,0.0,209.0,59.0
Hotel Star,35.33187,25.12276,0.0,0.0,9.0,68.0
Leto Hotel,37.03457,25.25752,0.0,0.0,179.0,63.0
Hotel Rodanthis Village,35.51828,24.07567,0.0,0.0,17.0,0.0
Kritikakis Beach Club,36.66097,25.37105,0.0,0.0,25.0,42.0
Hotel Idilio,35.308525,25.370571,0.0,0.0,4.0,54.0
Meridien Beach Hotel,37.76464,20.923254,0.0,0.0,0.0,81.0
Przo Apartments,41.03708,21.35078,0.0,0.0,0.0,0.0
Atalanti Apartments,36.973312,22.991566,0.0,0.0,17.0,0.0
Christina,40.589893,24.620853,0.0,0.0,14.0,0.0
Corfu Chandris Hotel,39.64957,19.85993,0.0,0.0,0.0,46.0
Guest Rooms Drakopoulos,39.44413,23.10321,0.0,0.0,0.0,0.0
Fifth Floor Rhodes at Hotel Parthenon,36.449074,28.216455,0.0,0.0,0.0,100.0
Aparthotel Seaside,39.5165,19.9195,0.0,0.0,98.0,0.0
Hotel Pighassos,35.366478,24.487509,0.0,0.0,30.0,85.0
Danae hotel,36.331264,28.207203,0.0,0.0,0.0,72.0
Hotel Stella,35.09819,24.689907,0.0,0.0,12.0,69.0
Golden Bay Hotel,35.11545,25.72463,0.0,0.0,49.0,0.0
Hotel Aristofanis,37.98024,23.72423,0.0,0.0,9.0,100.0
VP Belair,36.35197,25.469225,0.0,0.0,0.0,89.0
Hotel Aloni,35.335415,25.363613,0.0,0.0,5.0,0.0
Hotel Etoile,37.98709,23.72895,0.0,0.0,15.0,100.0
Galini Beach,40.716934,23.70716,0.0,0.0,0.0,44.0
Kryoneri Hotel,37.79593,20.90039,0.0,0.0,294.0,58.0
Nlh Mati Seaside | Neighborhood Lifestyle Hotels,38.04739,23.99784,0.0,0.0,82.0,0.0
Coni,36.89136,27.28698,0.0,0.0,63.0,100.0
Bravo Aparthotel,35.33793,25.075136,0.0,0.0,11.0,69.0
Hotel Antoua Antogia,35.20585,26.10478,0.0,0.0,36.0,79.0
Oasis by the Sea,38.39003,22.00755,0.0,0.0,0.0,0.0
Studios Vigla,37.71249,26.70073,0.0,0.0,231.0,0.0
Economy Studios By Voula,37.423027,25.307968,0.0,0.0,0.0,55.0
Shtepia E Kuajve 3H,40.61049,20.691954,0.0,0.0,0.0,0.0
Hotel Manos Beach,35.35183,24.29765,0.0,0.0,71.0,0.0
Hotel Ermioni,35.28876,25.46458,0.0,0.0,9.0,72.0
Hotel Agapi,35.50121,23.97343,0.0,0.0,9.0,43.0
Kymo Luxury Suites,37.13491,25.22027,0.0,0.0,7.0,49.0
Modul Hotel,36.338196,28.194359,0.0,0.0,0.0,85.0
Hotel Marem,35.35365,24.5155,0.0,0.0,35.0,0.0
